"SESSIONID","EXERCISEID","SETS","REPS","WORKOUT"
558,47,5,15,"Bent-over rows"
559,44,5,24,"Fat grip dumbbell curl"
560,51,4,23,"Cable crossovers"
561,24,5,16,"Incline dumbbell press"
562,21,5,21,"Lateral raises"
563,41,4,18,"Romanian deadlifts"
564,25,4,16,"Plate pinch"
565,55,4,23,"Leg raises"
566,14,3,8,"Leg curls"
567,16,4,17,"Incline dumbbell press"
568,9,5,16,"Incline dumbbell press"
569,9,4,21,"Triceps dips"
570,41,4,24,"Russian twists"
571,37,5,20,"Hanging leg raises"
572,47,4,25,"Hanging leg raises"
573,49,4,21,"Leg extensions"
574,6,4,24,"Leg extensions"
575,25,5,15,"Donkey kicks"
576,31,5,17,"Lateral raises"
577,32,5,16,"Dumbbell front raises"
578,20,4,15,"Barbell squats"
579,51,5,15,"Bent-over rows"
580,3,4,19,"Seated calf raises"
581,27,3,12,"Chest flyes"
582,4,4,24,"Decline dumbbell press"
583,8,4,25,"Leg press"
584,50,5,24,"Towel pull-up"
585,34,4,19,"Incline cable crossovers"
586,39,4,20,"Seated calf raises"
587,44,3,20,"Hammer curls"
588,25,5,20,"Close-grip bench press"
589,42,5,25,"Russian twists"
590,30,3,10,"Incline cable crossovers"
591,4,5,22,"Face pulls"
592,47,5,17,"Close-grip bench press"
593,43,5,22,"Preacher curls"
594,37,5,24,"Towel pull-up"
595,4,5,23,"Seated cable rows"
596,43,4,19,"Donkey kicks"
597,6,4,21,"Leg extensions"
598,12,4,18,"Hanging leg raises"
599,18,4,23,"Bicep Curls"
600,2,5,21,"Barbell rows"
601,16,5,17,"Face pulls"
602,48,5,19,"Bicep Curls"
603,52,4,17,"Preacher curls"
604,17,5,21,"Hyperextensions"
605,53,4,21,"Leg raises"
606,36,5,23,"Lateral raises"
607,39,4,17,"Concentration curls"
608,15,4,17,"Military press"
609,25,4,22,"Chest flyes"
610,18,5,18,"Leg press"
611,48,5,16,"Leg extensions"
612,42,4,16,"Barbell rows"
613,18,5,25,"Leg curls"
614,44,5,25,"Military press"
615,23,4,24,"Bent-over lateral raises"
616,24,5,22,"Incline dumbbell press"
617,42,4,18,"Bird dog"
618,24,4,19,"Decline dumbbell flyes"
619,32,4,16,"Dumbbell rows"
620,14,5,23,"Skull crushers"
621,30,5,17,"Standing calf raises"
622,31,5,17,"Romanian deadlifts"
623,33,5,16,"Leg curls"
624,50,4,18,"Wrist curl"
625,2,5,16,"Decline dumbbell press"
626,38,5,21,"Plank"
627,11,4,22,"Incline dumbbell press"
628,6,5,19,"Incline dumbbell press"
629,50,4,19,"Chest flyes"
630,14,4,15,"Bent-over lateral raises"
631,20,5,25,"Wrist extension"
632,50,4,20,"Barbell hip thrusts"
633,7,4,20,"Leg curls"
634,46,5,18,"Decline dumbbell press"
635,29,5,18,"Barbell hip thrusts"
636,45,5,19,"Face pulls"
637,21,4,21,"Incline dumbbell press"
638,51,4,24,"Pull-ups"
639,21,4,23,"Decline dumbbell flyes"
640,17,5,23,"Pull-ups"
641,22,5,22,"Dumbbell curls"
642,32,5,15,"Leg press"
643,52,4,15,"Dumbbell curls"
644,10,4,25,"Crunches"
645,48,5,19,"Cable crossovers"
646,19,5,19,"Barbell curls"
647,26,5,25,"Decline cable crossovers"
648,32,4,18,"Crunches"
649,16,4,25,"Russian twists"
650,11,5,16,"Incline dumbbell flyes"
651,37,5,17,"Hanging leg raises"
652,19,5,18,"Leg curls"
653,16,4,22,"Bicycle crunches"
654,14,5,19,"Donkey kicks"
655,21,5,18,"Seated cable rows"
656,47,5,16,"Dumbbell front raises"
657,25,5,24,"Incline dumbbell press"
658,43,5,17,"Incline dumbbell flyes"
659,48,5,15,"Dumbbell curls"
660,40,4,23,"Standing calf raises"
661,1,3,20,"Skull crushers"
662,51,5,25,"Hyperextensions"
663,46,4,17,"Romanian deadlifts"
664,26,5,16,"Barbell hip thrusts"
665,19,5,21,"Triceps pushdowns"
666,36,5,18,"Seated calf raises"
667,4,5,23,"Concentration curls"
668,29,4,22,"Hammer curl"
669,33,4,19,"Cable crossovers"
670,31,5,17,"Dumbbell front raises"
671,27,4,24,"Seated calf raises"
672,4,4,20,"Plate pinch"
673,7,4,23,"Barbell curls"
674,20,4,15,"Overhead triceps extensions"
675,11,4,16,"Incline dumbbell flyes"
676,5,5,17,"Leg extensions"
677,20,4,24,"Skull crushers"
678,38,5,20,"Military press"
679,10,4,22,"Cable crossovers"
680,2,4,21,"Hammer curl"
681,41,4,21,"Decline dumbbell flyes"
682,8,5,18,"Towel pull-up"
683,19,5,15,"Decline dumbbell flyes"
684,50,5,20,"Bicycle crunches"
685,39,5,24,"Seated calf raises"
686,37,4,20,"Standing calf raises"
687,42,5,18,"Standing calf raises"
688,22,5,25,"Preacher curls"
689,12,5,23,"Barbell squats"
690,22,5,17,"Russian twists"
691,20,5,18,"Pull-ups"
692,11,4,24,"Crunches"
693,28,4,25,"Plate pinch"
694,2,3,8,"Bent-over lateral raises"
695,40,4,21,"Hyperextensions"
696,51,5,15,"Bent-over rows"
697,25,4,21,"Wrist curl"
698,31,4,17,"Hammer curl"
699,52,5,25,"Hanging leg raises"
700,29,5,24,"Leg raises"
701,32,4,15,"Crunches"
702,11,4,25,"Fat grip dumbbell curl"
703,49,4,24,"Hyperextensions"
704,31,5,16,"Decline dumbbell press"
705,21,4,16,"Leg raises"
706,24,5,16,"Leg raises"
707,10,4,19,"Crunches"
708,8,4,16,"Wrist curl"
709,25,5,22,"Bicep Curls"
710,33,5,22,"Overhead triceps extensions"
711,23,5,21,"Decline dumbbell flyes"
712,51,4,19,"Concentration curls"
713,53,4,19,"Bicep Curls"
714,42,5,15,"Russian twists"
715,12,4,24,"Close-grip bench press"
716,40,4,24,"Incline dumbbell press"
717,51,5,23,"Hammer curl"
718,40,5,17,"Decline cable crossovers"
719,43,4,17,"Plank"
720,7,4,24,"Incline cable crossovers"
721,40,4,15,"Incline cable crossovers"
722,24,5,19,"Barbell curls"
723,6,4,24,"Barbell squats"
724,12,5,18,"Dumbbell flyes"
725,47,5,16,"Romanian deadlifts"
726,40,4,25,"Close-grip bench press"
727,28,4,12,"Bicycle crunches"
728,30,5,20,"Barbell rows"
729,3,4,16,"Bent-over lateral raises"
730,46,4,16,"Wrist extension"
731,29,4,17,"Pull-ups"
732,36,5,17,"Leg curls"
733,39,3,10,"Barbell hip thrusts"
734,45,4,23,"Decline dumbbell flyes"
735,52,5,21,"Incline cable crossovers"
736,6,5,16,"Bent-over rows"
737,39,4,25,"Incline dumbbell press"
738,33,5,17,"Triceps pushdowns"
739,49,5,18,"Fat grip dumbbell curl"
740,24,5,24,"Seated cable rows"
741,28,4,24,"Concentration curls"
742,55,4,25,"Russian twists"
743,52,5,24,"Leg curls"
744,55,4,22,"Decline dumbbell press"
745,18,4,24,"Barbell squats"
746,6,4,24,"Fat grip dumbbell curl"
747,10,5,20,"Bicycle crunches"
748,25,4,21,"Hammer curls"
749,46,5,18,"Dumbbell flyes"
750,13,5,19,"Bicycle crunches"
751,15,4,24,"Decline dumbbell flyes"
752,55,4,24,"Decline dumbbell press"
753,25,4,17,"Hyperextensions"
754,41,5,22,"Dumbbell flyes"
755,46,4,16,"Cable crossovers"
756,50,5,22,"Cable crossovers"
757,31,4,16,"Bent-over rows"
758,3,4,18,"Concentration curls"
759,19,5,19,"Bent-over rows"
760,10,4,24,"Bent-over lateral raises"
761,4,4,24,"Pull-ups"
762,26,5,20,"Triceps dips"
763,28,4,19,"Donkey kicks"
764,29,5,23,"Triceps dips"
765,35,4,17,"Overhead triceps extensions"
766,1,4,24,"Leg extensions"
767,54,5,23,"Fat grip dumbbell curl"
768,14,5,17,"Plank"
769,13,4,21,"Chest flyes"
770,29,5,16,"Towel pull-up"
771,20,4,23,"Dumbbell rows"
772,10,4,15,"Standing calf raises"
773,25,5,24,"Hyperextensions"
774,51,4,16,"Skull crushers"
775,7,5,21,"Donkey kicks"
776,48,5,24,"Plate pinch"
777,40,4,16,"Bent-over lateral raises"
778,31,5,17,"Hyperextensions"
779,24,4,15,"Decline dumbbell flyes"
780,34,5,24,"Preacher curls"
781,18,5,21,"Bicycle crunches"
782,52,5,15,"Fat grip dumbbell curl"
783,54,5,21,"Bicep Curls"
784,36,5,25,"Decline dumbbell press"
785,37,5,18,"Preacher curls"
786,17,4,19,"Triceps pushdowns"
787,17,4,24,"Cable crossovers"
788,53,4,19,"Military press"
789,13,5,23,"Wrist extension"
790,27,5,18,"Skull crushers"
791,19,5,15,"Overhead triceps extensions"
792,51,5,17,"Hammer curl"
793,14,4,23,"Barbell hip thrusts"
794,8,4,15,"Triceps pushdowns"
795,23,4,25,"Barbell curls"
796,52,5,22,"Overhead triceps extensions"
797,24,4,20,"Bird dog"
798,11,4,24,"Cable crossovers"
799,46,5,24,"Towel pull-up"
800,13,5,17,"Bent-over lateral raises"
801,49,5,22,"Preacher curls"
802,41,4,24,"Cable crossovers"
803,26,5,16,"Face pulls"
804,35,5,16,"Concentration curls"
805,6,4,18,"Decline dumbbell press"
806,4,5,24,"Hyperextensions"
807,42,5,17,"Bent-over lateral raises"
808,17,4,18,"Barbell curls"
809,20,5,17,"Triceps pushdowns"
810,14,5,15,"Triceps pushdowns"
811,39,5,24,"Overhead triceps extensions"
812,54,5,18,"Barbell curls"
813,13,4,16,"Cable crossovers"
814,36,5,15,"Triceps dips"
815,41,4,16,"Standing calf raises"
816,50,5,15,"Preacher curls"
817,53,3,10,"Concentration curls"
818,29,5,25,"Face pulls"
819,4,5,15,"Seated cable rows"
820,51,5,19,"Plank"
821,30,5,21,"Hammer curl"
822,38,5,21,"Seated cable rows"
823,11,4,18,"Hammer curl"
824,37,3,20,"Seated cable rows"
825,46,5,19,"Chest flyes"
826,4,4,21,"Towel pull-up"
827,26,4,22,"Leg raises"
828,54,5,19,"Barbell hip thrusts"
829,9,4,16,"Bicycle crunches"
830,38,5,22,"Romanian deadlifts"
831,15,5,24,"Romanian deadlifts"
832,25,5,15,"Military press"
833,12,4,20,"Barbell squats"
834,10,4,15,"Lateral raises"
835,36,5,16,"Lateral raises"
836,20,5,19,"Military press"
837,46,5,20,"Chest flyes"
838,11,4,25,"Bicep Curls"
839,30,5,24,"Overhead triceps extensions"
840,31,5,23,"Barbell rows"
841,27,5,17,"Seated cable rows"
842,12,4,18,"Leg raises"
843,15,4,17,"Leg curls"
844,40,4,17,"Leg curls"
845,30,5,17,"Hammer curls"
846,21,4,18,"Barbell squats"
847,52,5,15,"Face pulls"
848,53,5,18,"Hammer curls"
849,2,4,21,"Barbell hip thrusts"
850,22,5,16,"Towel pull-up"
851,36,4,24,"Incline cable crossovers"
852,41,4,22,"Leg raises"
853,28,5,24,"Dumbbell curls"
854,28,5,15,"Hyperextensions"
855,49,4,22,"Face pulls"
856,31,5,15,"Lateral raises"
857,40,4,21,"Decline dumbbell press"
858,51,4,19,"Chest flyes"
859,46,5,21,"Romanian deadlifts"
860,7,5,16,"Wrist curl"
861,28,4,23,"Bent-over lateral raises"
862,23,5,23,"Leg curls"
863,11,4,20,"Triceps pushdowns"
864,27,4,25,"Leg raises"
865,21,4,25,"Seated cable rows"
866,18,3,12,"Military press"
867,19,5,16,"Donkey kicks"
868,10,4,15,"Decline dumbbell press"
869,29,4,21,"Dumbbell curls"
870,26,4,25,"Military press"
871,37,4,10,"Skull crushers"
872,45,4,23,"Decline dumbbell flyes"
873,38,4,19,"Seated calf raises"
874,27,4,22,"Standing calf raises"
875,36,5,17,"Decline dumbbell press"
876,42,4,25,"Russian twists"
877,43,4,25,"Plank"
878,29,5,25,"Leg raises"
879,47,4,23,"Skull crushers"
880,15,4,17,"Leg press"
881,26,5,23,"Towel pull-up"
882,24,4,19,"Donkey kicks"
883,47,5,20,"Wrist curl"
884,54,4,18,"Leg press"
885,16,4,25,"Preacher curls"
886,24,3,12,"Incline cable crossovers"
887,43,4,23,"Donkey kicks"
888,29,5,23,"Dumbbell curls"
889,16,4,19,"Crunches"
890,35,4,16,"Bent-over rows"
891,33,4,17,"Incline dumbbell flyes"
892,45,5,24,"Crunches"
893,7,4,22,"Towel pull-up"
894,22,4,16,"Concentration curls"
895,13,5,15,"Fat grip dumbbell curl"
896,51,4,15,"Bent-over rows"
897,13,5,16,"Hyperextensions"
898,47,5,25,"Dumbbell curls"
899,28,5,16,"Incline cable crossovers"
900,30,5,17,"Chest flyes"
901,24,5,15,"Preacher curls"
902,40,5,24,"Seated calf raises"
903,10,5,16,"Russian twists"
904,5,4,16,"Overhead triceps extensions"
905,10,5,24,"Bent-over lateral raises"
906,46,5,22,"Barbell hip thrusts"
907,13,5,16,"Triceps pushdowns"
908,12,5,15,"Triceps dips"
909,15,4,24,"Decline dumbbell flyes"
910,53,4,21,"Decline dumbbell press"
911,28,4,18,"Wrist extension"
912,35,5,25,"Dumbbell front raises"
913,18,4,23,"Preacher curls"
914,24,5,25,"Incline dumbbell press"
915,14,5,15,"Leg curls"
916,29,5,16,"Seated cable rows"
917,15,4,19,"Cable crossovers"
918,36,5,15,"Plank"
919,30,5,15,"Barbell rows"
920,19,5,17,"Bent-over lateral raises"
921,30,5,25,"Barbell curls"
922,3,5,16,"Bent-over lateral raises"
923,3,5,15,"Fat grip dumbbell curl"
924,15,5,15,"Bicep Curls"
925,36,4,15,"Hyperextensions"
926,45,5,20,"Seated cable rows"
927,30,4,19,"Leg press"
928,20,4,15,"Close-grip bench press"
929,11,5,17,"Standing calf raises"
930,16,5,23,"Lateral raises"
931,39,4,19,"Decline cable crossovers"
932,47,5,15,"Barbell rows"
933,12,5,24,"Bicep Curls"
934,41,5,19,"Decline cable crossovers"
935,54,4,23,"Incline cable crossovers"
936,48,5,21,"Bicep Curls"
937,14,5,21,"Hammer curl"
938,37,4,22,"Hammer curls"
939,10,5,24,"Dumbbell rows"
940,47,5,19,"Hammer curl"
941,44,5,24,"Plate pinch"
942,33,5,22,"Decline dumbbell flyes"
943,37,5,17,"Barbell squats"
944,30,4,19,"Wrist extension"
945,29,3,12,"Military press"
946,3,4,19,"Overhead triceps extensions"
947,15,4,18,"Hammer curl"
948,36,3,12,"Crunches"
949,11,4,20,"Decline dumbbell press"
950,14,5,17,"Close-grip bench press"
951,55,4,23,"Romanian deadlifts"
952,16,5,20,"Bird dog"
953,52,5,15,"Cable crossovers"
954,26,4,15,"Concentration curls"
955,49,4,16,"Plate pinch"
956,15,5,19,"Barbell rows"
957,25,5,23,"Bent-over lateral raises"
958,46,5,25,"Seated calf raises"
959,6,5,25,"Military press"
960,33,4,21,"Bent-over rows"
961,55,4,17,"Hanging leg raises"
962,54,5,16,"Seated calf raises"
963,28,5,15,"Triceps dips"
964,30,5,19,"Incline dumbbell flyes"
965,28,4,20,"Barbell hip thrusts"
966,39,4,22,"Donkey kicks"
967,4,4,15,"Hammer curl"
968,7,4,23,"Wrist extension"
969,50,3,15,"Bicycle crunches"
970,6,5,15,"Bent-over rows"
971,13,4,21,"Plank"
972,37,4,18,"Barbell curls"
973,46,5,15,"Bicep Curls"
974,9,5,21,"Bicycle crunches"
975,6,4,17,"Close-grip bench press"
976,13,5,17,"Wrist extension"
977,30,5,22,"Pull-ups"
978,24,4,15,"Hanging leg raises"
979,27,5,16,"Triceps dips"
980,55,5,17,"Pull-ups"
981,14,5,23,"Bird dog"
982,34,4,24,"Towel pull-up"
983,28,5,15,"Decline dumbbell press"
984,38,5,22,"Russian twists"
985,10,5,24,"Hammer curl"
986,27,5,25,"Hammer curl"
987,3,4,20,"Barbell squats"
988,41,5,19,"Preacher curls"
989,28,5,15,"Triceps dips"
990,29,4,21,"Cable crossovers"
991,5,3,10,"Bent-over lateral raises"
992,19,4,19,"Overhead triceps extensions"
993,18,5,22,"Towel pull-up"
994,25,5,18,"Decline cable crossovers"
995,38,4,16,"Incline dumbbell flyes"
996,49,4,20,"Bicep Curls"
997,53,4,21,"Decline dumbbell press"
998,8,4,23,"Seated cable rows"
999,13,4,23,"Overhead triceps extensions"
1000,24,5,16,"Plank"
1001,50,5,20,"Leg press"
1002,36,4,18,"Bicycle crunches"
1003,53,4,19,"Triceps pushdowns"
1004,55,5,20,"Russian twists"
1005,36,4,24,"Bird dog"
1006,48,5,21,"Military press"
1007,23,5,16,"Skull crushers"
1008,35,5,23,"Incline dumbbell flyes"
1009,55,4,18,"Fat grip dumbbell curl"
1010,23,4,23,"Barbell squats"
1011,9,5,22,"Skull crushers"
1012,32,5,22,"Decline cable crossovers"
1013,29,4,25,"Crunches"
1014,3,4,18,"Wrist curl"
1015,9,5,21,"Leg raises"
1016,2,4,18,"Hammer curl"
1017,32,5,20,"Cable crossovers"
1018,53,5,21,"Hammer curls"
1019,16,5,17,"Decline dumbbell press"
1020,39,5,22,"Romanian deadlifts"
1021,44,4,23,"Leg extensions"
1022,49,5,23,"Bent-over rows"
1023,6,5,18,"Cable crossovers"
1024,16,5,18,"Bent-over lateral raises"
1025,48,5,16,"Romanian deadlifts"
1026,31,4,19,"Hyperextensions"
1027,40,4,25,"Face pulls"
1028,51,3,8,"Cable crossovers"
1029,36,5,15,"Crunches"
1030,55,4,18,"Leg raises"
1031,31,4,17,"Incline dumbbell flyes"
1032,42,4,17,"Lateral raises"
1033,6,5,15,"Chest flyes"
1034,40,4,19,"Triceps pushdowns"
1035,7,4,16,"Leg raises"
1036,48,5,25,"Lateral raises"
1037,3,5,25,"Fat grip dumbbell curl"
1038,26,4,20,"Leg press"
1039,28,4,23,"Cable crossovers"
1040,33,4,21,"Hyperextensions"
1041,12,4,19,"Barbell hip thrusts"
1042,17,5,22,"Close-grip bench press"
1043,21,5,23,"Bent-over rows"
1044,51,4,16,"Preacher curls"
1045,30,4,24,"Bent-over rows"
1046,28,4,21,"Leg press"
1047,24,5,22,"Hammer curl"
1048,45,5,21,"Wrist curl"
1049,47,4,19,"Chest flyes"
1050,45,4,19,"Bird dog"
1051,50,5,19,"Russian twists"
1052,27,4,15,"Cable crossovers"
1053,25,4,16,"Plank"
1054,18,5,16,"Incline dumbbell flyes"
1055,9,4,18,"Barbell curls"
1056,17,5,24,"Preacher curls"
1057,48,5,23,"Leg press"
1058,15,4,16,"Triceps dips"
1059,18,5,18,"Wrist extension"
1060,31,4,24,"Decline dumbbell flyes"
1061,27,4,21,"Wrist curl"
1062,12,4,21,"Barbell curls"
1,1,5,21,"Dumbbell flyes"
2,2,4,16,"Lateral raises"
3,3,5,22,"Standing calf raises"
4,4,4,17,"Incline dumbbell flyes"
5,5,5,15,"Military press"
6,6,4,25,"Skull crushers"
7,7,5,25,"Barbell rows"
8,8,5,19,"Hammer curl"
9,9,4,24,"Russian twists"
10,10,4,16,"Towel pull-up"
11,11,5,17,"Bicep Curls"
12,12,4,21,"Face pulls"
13,13,4,24,"Seated calf raises"
14,8,5,15,"Fat grip dumbbell curl"
15,14,4,15,"Hammer curls"
16,15,5,18,"Plate pinch"
17,16,5,21,"Donkey kicks"
18,10,5,17,"Decline dumbbell press"
19,13,4,25,"Barbell curls"
20,17,4,23,"Military press"
21,1,5,23,"Dumbbell front raises"
22,18,5,17,"Russian twists"
23,9,4,24,"Hyperextensions"
24,19,4,24,"Leg raises"
25,18,4,15,"Barbell rows"
26,2,5,17,"Skull crushers"
27,4,4,15,"Plate pinch"
28,20,5,22,"Bicycle crunches"
29,21,5,15,"Close-grip bench press"
30,22,5,25,"Decline cable crossovers"
31,23,4,16,"Russian twists"
32,24,5,16,"Hanging leg raises"
33,25,5,18,"Bird dog"
34,26,5,16,"Dumbbell flyes"
35,17,4,19,"Plate pinch"
36,27,5,22,"Leg raises"
37,16,3,10,"Bird dog"
38,28,5,16,"Standing calf raises"
39,29,5,23,"Dumbbell rows"
40,16,4,24,"Incline dumbbell press"
41,30,4,23,"Hammer curl"
42,6,4,22,"Bent-over lateral raises"
43,31,5,18,"Leg extensions"
44,32,4,23,"Face pulls"
45,31,4,21,"Dumbbell rows"
46,20,4,22,"Pull-ups"
47,20,5,18,"Military press"
48,33,5,21,"Pull-ups"
49,34,5,18,"Dumbbell rows"
50,35,4,24,"Dumbbell rows"
51,20,4,23,"Crunches"
52,36,5,15,"Chest flyes"
53,14,3,12,"Decline dumbbell flyes"
54,37,4,17,"Barbell curls"
55,4,4,16,"Dumbbell curls"
56,36,5,20,"Pull-ups"
57,2,4,15,"Plate pinch"
58,26,4,18,"Chest flyes"
59,24,5,20,"Incline dumbbell flyes"
60,10,4,23,"Leg raises"
61,38,4,25,"Barbell squats"
62,1,5,16,"Leg curls"
63,39,4,15,"Dumbbell front raises"
64,18,3,12,"Triceps dips"
65,40,5,24,"Crunches"
66,12,4,23,"Military press"
67,21,3,8,"Concentration curls"
68,41,5,24,"Dumbbell flyes"
69,15,5,19,"Decline dumbbell press"
70,42,5,16,"Plate pinch"
71,43,4,25,"Wrist extension"
72,23,5,17,"Lateral raises"
73,41,4,25,"Leg raises"
74,23,5,18,"Preacher curls"
75,44,4,20,"Lateral raises"
76,29,5,18,"Bent-over lateral raises"
77,33,4,19,"Triceps dips"
78,34,4,17,"Barbell curls"
79,34,5,21,"Concentration curls"
80,45,4,15,"Leg curls"
81,29,5,16,"Plate pinch"
82,27,5,16,"Triceps dips"
83,9,5,24,"Plate pinch"
84,34,5,24,"Incline cable crossovers"
85,32,4,15,"Hammer curl"
86,38,4,21,"Bicycle crunches"
87,19,5,23,"Bird dog"
88,14,3,12,"Bicep Curls"
89,46,4,25,"Concentration curls"
90,7,5,16,"Bird dog"
91,20,5,19,"Barbell hip thrusts"
92,12,4,19,"Incline dumbbell flyes"
93,12,5,22,"Leg curls"
94,6,4,23,"Bird dog"
95,47,5,15,"Incline cable crossovers"
96,40,5,16,"Barbell rows"
97,47,5,25,"Hammer curls"
98,21,5,15,"Leg raises"
99,16,5,21,"Wrist extension"
100,48,3,10,"Cable crossovers"
101,19,4,15,"Decline cable crossovers"
102,9,4,22,"Plate pinch"
103,20,4,17,"Leg raises"
104,10,5,18,"Leg raises"
105,49,5,22,"Pull-ups"
106,24,4,25,"Fat grip dumbbell curl"
107,15,5,20,"Hanging leg raises"
108,45,3,10,"Face pulls"
109,29,4,22,"Hammer curl"
110,7,5,18,"Bicep Curls"
111,47,4,17,"Dumbbell flyes"
112,50,4,15,"Plate pinch"
113,51,5,24,"Romanian deadlifts"
114,6,5,18,"Seated calf raises"
115,2,4,24,"Incline cable crossovers"
116,1,5,25,"Dumbbell curls"
117,4,5,21,"Bicep Curls"
118,38,5,21,"Barbell squats"
119,47,4,23,"Close-grip bench press"
120,36,4,18,"Decline cable crossovers"
121,19,4,15,"Military press"
122,22,4,15,"Lateral raises"
123,19,5,17,"Bent-over lateral raises"
124,52,4,17,"Face pulls"
125,43,4,23,"Bent-over lateral raises"
126,26,4,20,"Hammer curls"
127,15,5,15,"Leg raises"
128,14,5,22,"Bicep Curls"
129,7,4,24,"Concentration curls"
130,35,5,25,"Triceps pushdowns"
131,12,4,19,"Hammer curl"
132,15,5,21,"Bent-over rows"
133,42,4,20,"Romanian deadlifts"
134,25,4,24,"Dumbbell front raises"
135,53,5,21,"Decline dumbbell press"
136,8,4,21,"Donkey kicks"
137,30,5,25,"Triceps dips"
138,44,4,15,"Seated cable rows"
